lead_time,model,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%
6,Hydrique_ML,0.814215962928502,0.8429488397700892,26.25715386548454,-32.619751463277844,0.0,-14.170916814766658,33.67904901600552,0.2727272727272727,0.25,0.25,-1.911445668287819,0.4829323710549579,197.27248920207336,-33.75810429919726,-8.0,-34.00419912894262
6,Hydrique_Curve,0.921261489445043,0.9556989177372339,17.060673564397135,-7.844999305797017,0.0,-2.0153068890106525,13.077205711790151,0.6363636363636364,0.125,0.5833333333333334,0.5264728824210332,0.6009919117069988,79.5581374159667,2.7142006025537646,-8.0,-5.941335935594777
6,SIG_CNR,0.9504018529191958,0.9728193482169228,13.519990332856288,0.2677730119638807,0.0,-7.915398247612475,12.148277960094767,0.8333333333333334,0.5,0.45454545454545453,0.7654015725785944,0.88214894107555,68.08577485517534,-9.672965004807017,,-5.041799087532965
6,OFEV,0.9095388541268753,0.8752644932128057,21.037477002566085,-10.355579901639132,0.0,-7.527843334594582,13.715882425264562,0.6363636363636364,0.125,0.5833333333333334,0.2683666099940062,0.5041705838597639,112.45738782030041,-33.63485550012217,-2.4,-14.57046461143608
12,Hydrique_ML,0.8047283425283434,0.8416517712164453,26.83085914350781,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863656,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572
12,Hydrique_Curve,0.874642394035074,0.9215440305119914,21.398652287110014,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249
12,SIG_CNR,0.9075334163987866,0.9509169385251692,17.488780179043154,-13.73474994011453,22.0,-5.7979578269703,16.567747859425413,0.6666666666666666,0.2,0.5714285714285714,-1.4197613861994816,0.1724432865324319,103.56391597186627,-8.757908590505753,25.0,-6.7076828707745175
12,OFEV,0.863765314422571,0.841952307606756,24.49440090307997,-20.255281853138886,0.0,-17.56905778035668,27.02439816219805,0.42857142857142855,0.0,0.42857142857142855,-2.970499714299065,0.216612017453928,145.73121545815675,-7.849176321003358,-13.6,-21.59701688296162
24,Hydrique_ML,0.7632921610441729,0.7839057582451758,29.36544531202463,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123
24,Hydrique_Curve,0.8351563156757682,0.885929001509837,24.39408997553662,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.7562944574341548,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643
24,SIG_CNR,0.8752877446644463,0.8884702438467137,22.876401677730826,-22.227229145793114,0.0,-12.252834924330774,25.14828843287703,0.5555555555555556,0.0,0.5555555555555556,0.1783155895384091,0.65768867974706,166.42152201880486,-31.08027998719491,,-24.707844275138687
24,OFEV,0.830851992981672,0.7816992260144209,28.543389176895488,-22.927116368421142,0.0,-19.342427637135653,25.625432519553552,0.4,0.0,0.4,0.031633793581699265,0.6685581026884067,157.49885276122444,-24.024592817509152,-6.666666666666667,-25.736201071383537
36,Hydrique_ML,0.74742371314786,0.7852336749900952,29.98249832721597,-42.99824139233773,0.0,-21.825446249552165,38.97675346431403,0.25,0.0,0.25,-1.5986969095621855,0.3403430055709693,237.79709545025793,-52.79047199045358,0.0,-39.8900698657119
36,Hydrique_Curve,0.8037628656513982,0.8621876039965946,26.169929979781486,-18.993243850301525,0.0,-5.631894451584111,17.47414336173769,0.25,0.5,0.2,0.46813610421793705,0.802578703918221,110.16370631734829,-19.597123950303168,0.0,-15.561683876790983
36,SIG_CNR,0.8452512155735581,0.9098581949776909,22.40905427051249,-22.783552393948668,0.0,-13.300906289735027,21.44749808011131,0.3333333333333333,0.3333333333333333,0.2857142857142857,-1.9289693943474466,0.26236958934875365,117.64823146152557,-10.266042332811445,-24.0,-14.300678011349998
48,Hydrique_ML,0.7139691339577687,0.7563930270110021,32.49799695773997,-37.76223339054466,0.0,-26.514281834108623,40.41421016863905,0.25,0.3333333333333333,0.2222222222222222,-2.0981884940580637,0.2104333051116699,257.0513481231643,-50.84003708597491,-6.0,-41.851915530697305
48,Hydrique_Curve,0.7651158250021646,0.8213326734265162,29.235962944916697,-28.261813414716123,0.0,-13.18012527029218,26.033033675771488,0.375,0.25,0.3333333333333333,-0.28250913453586657,0.6177026378980525,167.64008194255382,-36.039953669483374,0.0,-25.894708861368095
48,SIG_CNR,0.8186919209817047,0.8394063850733765,27.524709455998412,-28.55006698199051,0.0,-18.873799511483483,30.38223140356119,0.4444444444444444,0.0,0.4444444444444444,-0.3199480109687194,0.493628096713034,213.33242551627805,-44.2649220766011,,-30.004706331327704
48,OFEV,0.7416677370568756,0.6784618190382983,32.677225961448315,-42.35020996480176,0.0,-33.755796830058706,39.78944258523517,0.2857142857142857,0.0,0.2857142857142857,-1.1384515513723623,0.2815641958965377,256.0879523415463,-50.67805503792163,-24.0,-41.63203500131261
