lead_time,model,NSE,KGE,Peak_%,Timing_h,Volume_%
6,Hydrique_ML,0.7985214176752463,0.7846991811297724,-46.26724285454085,672.0,0.7794778052872395
6,SIG_CNR,0.8755108303084617,0.8880553700011026,-30.85582337762572,0.0,-0.47482052854479884
6,OFEV,0.914396127715966,0.8581021639330334,-39.569213422781566,0.0,2.3881932082463697
12,Hydrique_ML,0.8178669979259964,0.8495323208552581,-15.935675991729067,408.0,1.6680206126359967
12,SIG_CNR,0.8642666130407536,0.913413213501881,-16.950250618547603,0.0,1.2399061387760832
12,OFEV,0.8724891449124077,0.8348448565736162,-13.003739710440879,648.0,4.211177424937674
24,Hydrique_ML,0.755207231618229,0.7197469266298628,-52.941883029595324,672.0,4.357622556433714
24,SIG_CNR,0.8864761671130397,0.8879768953102947,-27.12848497997802,0.0,0.5084162132611573
24,OFEV,0.8226519478251617,0.731774242822917,-45.11390259136902,0.0,3.7317487861737964
48,Hydrique_ML,0.7005296123988471,0.6878502120507269,-50.84003708597491,672.0,5.115848750815805
48,SIG_CNR,0.8860296001719693,0.8902726104919833,-27.12848497997802,0.0,0.70739834314856
48,OFEV,0.7052191089552898,0.6309860652409065,-54.12429865799171,0.0,-0.8169410333841517
