model,NSE,KGE,REQ_peak_%,TP_peak_h,RER_volume_%,MAPE_Q>20_%
Hydrique_ML,0.7885158408445417,0.736142945377463,-53.95717139252499,672.0,4.481502207410508,23.05865209986318
SIG_CNR,0.8759100868516854,0.9065097554810628,-20.51213135096713,-6.0,0.0720564327928528,15.477977906310315
OFEV,0.24517146917965182,0.26013956869418875,-60.33710889453414,-1.0,47.773192634226156,93.58057210863066
