ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
C1E_Ctrl,6,OFEV,1676,2020-09-15T13:00:00,2024-05-27T11:00:00,0.9002920239001526,0.871246699,23.0223939,-14.26352553,0,-8.193824427,16.036631522707268,0.6666666666666666,0,0.6666666666666666,0.050576021,0.4300724766335394,118.3173016633952,-37.45278898,0,-14.34115477,
C1E_Ctrl,6,Hydrique_ML,2639,2020-09-16T00:00:00,2024-05-27T00:00:00,0.8149970328805209,0.8471071022612691,26.96618124335442,-32.61975146,0,-14.73602043,32.43099313759836,0.3333333333333333,0.25,0.3,-1.878514182,0.45248821059102695,198.09187927479528,-33.7581043,-8,-33.04383316,
C1E_Ctrl,6,Hydrique_Curve,2641,2020-09-16T00:00:00,2024-05-27T00:00:00,0.938707448,0.9649063516586845,15.480284031598245,-5.035925234,0,-0.686382153,10.634544063888974,0.7777777777777778,0.125,0.7,0.6746524727524223,0.7002022247581619,66.59724146083596,2.7142006025537646,-8,-3.414572257,
C1E_Ctrl,6,SIG_CNR,1329,2020-09-15T14:00:00,2024-05-26T17:00:00,0.9576501377662292,0.9743381874070343,12.771543402022457,0.2677730119638807,0,-7.915398248,11.278632832729585,1,0.4444444444444444,0.5555555555555556,0.7848836116374867,0.8957720565060373,66.50772627662224,-9.672965005,,-3.683350552,
C1E_Ctrl,12,OFEV,1676,2020-09-15T19:00:00,2024-05-27T17:00:00,0.8530571393478563,0.8553951348067359,27.19640519759986,-15.47662649,0,-15.66889081,33.121842687546106,0.375,0,0.375,-5.285381594,-0.378931633,168.17021035764716,11.886908997083587,-16,-21.54411513,
C1E_Ctrl,12,Hydrique_ML,2639,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8003508301590576,0.8385101612385226,28.073479987718137,-34.44698678,0,-16.82972089,33.29065027489031,0.625,0,0.625,-1.091389473,0.32818672111863667,211.19489992940805,-47.96873768,0,-30.63347866,
C1E_Ctrl,12,Hydrique_Curve,2641,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8838954165063649,0.9198556064124808,21.287966288174392,2.0984934155634267,0,-2.606053537,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589,0,-11.05269026,
C1E_Ctrl,12,SIG_CNR,1329,2020-09-15T20:00:00,2024-05-26T23:00:00,0.9155617765355213,0.9565825508008676,17.238254697071504,-13.73474994,22,-5.797957827,16.567747859425413,0.6666666666666666,0,0.6666666666666666,-1.419761386,0.1724432865324318,103.56391597186627,-8.757908591,25,-6.707682871,
C1E_Ctrl,24,OFEV,1666,2020-09-16T07:00:00,2024-05-28T05:00:00,0.819786642,0.7963386895048343,31.032720571145582,-27.08347004,0,-21.21126992,28.941606962612177,0.42857142857142855,0,0.42857142857142855,-0.07726576,0.5660534885891657,167.27622550771176,-25.82930865,1,-18.58286571,
C1E_Ctrl,24,Hydrique_ML,2639,2020-09-16T18:00:00,2024-05-27T18:00:00,0.7616196977180967,0.7748319713209638,30.47188846820344,-44.24793482,0,-22.31443468,38.13224769731174,0.25,0,0.25,-1.676253772,0.2996107609846409,244.1751006265445,-52.94188303,0,-39.50386967,
C1E_Ctrl,24,Hydrique_Curve,2641,2020-09-16T18:00:00,2024-05-27T18:00:00,0.8487340685856203,0.8820795244818437,24.10527142785747,-15.25099108,0,-8.677887942,14.644260548116925,0.625,0,0.625,0.4995708352391055,0.756294457,107.0264997226624,-25.8427525,0,-11.81480353,
C1E_Ctrl,24,SIG_CNR,1329,2020-09-16T08:00:00,2024-05-27T11:00:00,0.8801611117758688,0.8820637312318265,23.36468698985666,-22.22722915,0,-12.25283492,25.14828843287703,0.5555555555555556,0,0.5555555555555556,0.1783155895384091,0.65768868,166.42152201880486,-31.08027999,,-24.70784428,
