RMSE_peak,Bias_peak_%,MAPE_peak_%,Timing_error_h,NSE_peak,KGE_peak,TP,FP,FN,POD,FAR,CSI,model,window,n_events
93.49885348780116,-11.614820284593609,14.918979182719283,-1.0,0.5667243211629842,0.8221420245392257,15,4,7,0.6818181818181818,0.21052631578947367,0.5769230769230769,Hydrique_ML,0-6,22
56.14533685083836,-5.309753751137093,8.09327717609849,0.0,0.8437647149801538,0.8433634798006783,17,4,5,0.7727272727272727,0.19047619047619047,0.6538461538461539,Hydrique_physique,0-6,22
54.73787439159705,-2.5780129938739327,9.02424385174048,0.0,0.8916984315481217,0.9000298741353748,11,1,2,0.8461538461538461,0.08333333333333333,0.7857142857142857,SIG_CNR,0-6,13
66.17914903439501,-5.622108937892115,8.790726095701936,0.0,0.7575107815165164,0.7340853634450224,20,2,5,0.8,0.09090909090909091,0.7407407407407407,FOEN,0-6,25
199.76516753916354,-32.922395985616376,33.70298526152131,0.0,-1.0862163218360652,0.4929326680478324,9,3,18,0.3333333333333333,0.25,0.3,Hydrique_ML,6-12,27
93.29484490419225,-11.740305234512567,15.910307182002434,0.0,0.5449751603832187,0.7525964683588369,18,4,9,0.6666666666666666,0.18181818181818182,0.5806451612903226,Hydrique_physique,6-12,27
98.53820168536119,-7.7714404606432215,15.785678705896652,0.0,0.3815977632081723,0.7153948869714924,11,4,3,0.7857142857142857,0.26666666666666666,0.6111111111111112,SIG_CNR,6-12,14
140.11441430030055,-19.997169174627924,23.320930430329806,0.0,-1.5319134818336444,0.4160756915389626,12,0,16,0.42857142857142855,0.0,0.42857142857142855,FOEN,6-12,28
219.48565283558895,-29.635499046458076,33.53803358906317,0.0,-1.4304500788797894,0.325830097011481,11,1,12,0.4782608695652174,0.08333333333333333,0.4583333333333333,Hydrique_ML,12-18,23
131.86902379331076,-13.712628154548614,18.037660126460327,0.0,0.15428307909199868,0.6902635284278207,14,4,8,0.6363636363636364,0.2222222222222222,0.5384615384615384,Hydrique_physique,12-18,22
80.90242528603231,-6.41440057961639,11.59522305462858,0.0,0.4704910605123276,0.737915331198292,9,2,3,0.75,0.18181818181818182,0.6428571428571429,SIG_CNR,12-18,12
172.97136881250995,-27.16663036522842,29.777099001178513,0.0,-2.2602889462198363,0.39295348578376255,7,0,18,0.28,0.0,0.28,FOEN,12-18,25
193.45932725800668,-27.248041150243026,28.987662192470694,0.0,-0.9085809749340135,0.4352358136399018,12,2,14,0.46153846153846156,0.14285714285714285,0.42857142857142855,Hydrique_ML,18-24,26
139.12703203469525,-18.06021022556565,21.96855681650592,0.0,0.04746575701211542,0.6778729081734021,15,2,10,0.6,0.11764705882352941,0.5555555555555556,Hydrique_physique,18-24,25
117.36816075615249,-14.014387620469233,18.91727780811489,0.0,0.5312007176243629,0.7146820053846188,7,2,6,0.5384615384615384,0.2222222222222222,0.4666666666666667,SIG_CNR,18-24,13
172.95490313716562,-28.209457946295117,29.076787189799425,0.0,-0.6910960471336851,0.5945398533738802,7,0,17,0.2916666666666667,0.0,0.2916666666666667,FOEN,18-24,24
241.85934878425795,-38.175762697039325,38.458323450216184,0.0,-1.442788446583505,0.33202842965046675,10,0,20,0.3333333333333333,0.0,0.3333333333333333,Hydrique_ML,24-36,30
140.8317046739234,-20.41707460818519,22.10476346028616,0.0,0.19703512155863245,0.728103115030929,15,1,14,0.5172413793103449,0.0625,0.5,Hydrique_physique,24-36,29
146.49268682983055,-20.388356974248147,23.388891352783816,0.0,0.020925311008341052,0.6502569508063232,8,1,11,0.42105263157894735,0.1111111111111111,0.4,SIG_CNR,24-36,19
181.30101990912047,-30.904499953652653,30.904499953652653,-0.5,-1.0345466353157717,0.5046253334767612,7,0,21,0.25,0.0,0.25,FOEN,24-36,28
248.12395914434484,-39.40891956044477,40.142901650020974,0.0,-1.569932341723208,0.2970685987928531,7,1,23,0.23333333333333334,0.125,0.22580645161290322,Hydrique_ML,36-48,30
169.77707296852407,-27.425472481627732,29.222342957294078,0.0,-0.13494063097215814,0.6787014262652793,11,3,17,0.39285714285714285,0.21428571428571427,0.3548387096774194,Hydrique_physique,36-48,28
150.1137377934658,-17.650167327966937,20.44042580106982,0.0,0.14089331709214803,0.571850292057543,8,1,6,0.5714285714285714,0.1111111111111111,0.5333333333333333,SIG_CNR,36-48,14
210.1058272968717,-38.688410136635326,38.688410136635326,0.0,-1.8840569593847794,0.4243824112560646,3,0,24,0.1111111111111111,0.0,0.1111111111111111,FOEN,36-48,27
167.34478867244886,-21.36181673949813,24.629223277524705,-0.5,-0.09368204767906829,0.632635051586391,23,5,21,0.5227272727272727,0.17857142857142858,0.46938775510204084,Hydrique_ML,0-24,44
111.3448939247322,-14.047985903943886,16.33590481225161,1.0,0.5256824730211703,0.7847910991224216,27,3,16,0.627906976744186,0.1,0.5869565217391305,Hydrique_physique,0-24,43
92.15959323192521,-8.257142587921745,12.775690223688862,0.0,0.7263592298675179,0.8615178452100738,17,1,6,0.7391304347826086,0.05555555555555555,0.7083333333333334,SIG_CNR,0-24,23
136.69756417673912,-16.702240242919395,19.77825429527823,-1.0,0.06071705287709106,0.6639789261650836,25,1,20,0.5555555555555556,0.038461538461538464,0.5434782608695652,FOEN,0-24,45
