lead,CRPS,CRPSS,SpreadSkill,Brier,POD,FAR,CSI
6,11.617624815498155,0.7451557503347166,0.1780894805229806,0.0037058513442277275,0.4545454545316805,0.0,0.4545454545316805
12,11.642933289404322,0.7327715811741886,0.37664171590018564,0.004501186083289405,0.3448275861950059,0.0,0.3448275861950059
24,13.200867142479515,0.7058040736984732,0.5574789199993877,0.0033676975945017176,0.3199999999872,0.0,0.3199999999872
36,12.467627944992216,0.6862850354181163,0.6294064536242804,0.00334587441619097,0.24999999997916666,0.0,0.24999999997916666
48,13.824707917964695,0.6698951203194569,0.7245524857721755,0.003346313603322949,0.19999999998,0.0,0.19999999998
