lead,model,CRPS,Spread,Skill,SpreadSkill,StabilityIndex
6,C1E,12.591119822006473,1.8223715418510458,13.360603863268608,0.13639889037686148,0.14473466756477146
6,C2E,11.764233343769567,2.842483752117799,12.677643185138804,0.2242123169411843,0.24162082379822739
6,COSMOE,7.530544247787611,2.833975136429932,8.183309734513275,0.34631160594243093,0.3763307196403754
6,ICH1,8.20674785932722,0.918469832280464,8.411358562691131,0.10919399349412762,0.1119164190142236
6,ICH2,8.713761009174315,1.4132947515020078,9.097084097859328,0.15535689635750635,0.16219113077026376
12,C1E,11.725792698220065,4.557454048128751,13.302281755663431,0.3426069400346157,0.38866916421197584
12,C2E,11.470114996869128,5.6714945435535284,13.15592204132749,0.4310982176168438,0.49445838551811866
12,COSMOE,17.611530088495574,5.2540192700082855,19.07153097345133,0.27549016788671515,0.2983283816516348
12,ICH1,10.253882262996944,3.5269937287055595,11.065835626911314,0.31872818712483286,0.3439666691989834
12,ICH2,10.577796559633027,4.33549820458044,12.00197018348624,0.3612322092071608,0.4098677999457557
24,C1E,13.082919366626065,8.270795460057267,15.745682298010555,0.5252738689244985,0.6321827130207275
24,C2E,13.175719317470255,9.231268788909759,15.847024733876017,0.5825237824355539,0.7006273104170483
24,COSMOE,16.06099395280236,11.27141870913037,18.550511799410035,0.6076068860203215,0.7017883663708072
24,ICH1,12.46039797507788,7.943212988834192,13.979434579439253,0.5682070289129394,0.6374766684085039
24,ICH2,13.519288325652841,8.851274841720226,15.367774961597542,0.5759633299721443,0.654714555075375
36,C2E,12.115273283239409,9.637186487995505,14.81725224379044,0.6504030793822666,0.7954576229437917
36,COSMOE,14.323174336283186,9.763088389740538,15.960938053097347,0.6116863781220081,0.6816288177354125
36,ICH2,14.09451113671275,8.098316499382143,16.27033102918587,0.4977352018442387,0.5745723580091714
48,C2E,13.559175819244416,12.352753783618757,16.92357242746817,0.729914079065212,0.9110254153630474
48,COSMOE,14.07138761061947,11.842382086818473,16.73896460176991,0.7074739906468787,0.8415930549052325
48,ICH2,15.658874382716052,13.162816253617436,18.88631790123457,0.6969498407129985,0.8405978572320426
