model,issue_time,valid_time,lead_time_h,source_path,H_e01,H_e02,H_e03,H_e04,H_e05,H_e06,H_e07,H_e08,H_e09,H_e10,H_e11,H_e12,H_e13,H_e14,H_e15,H_e16,H_e17,H_e18,H_e19,H_e20,Q_e01,Q_e02,Q_e03,Q_e04,Q_e05,Q_e06,Q_e07,Q_e08,Q_e09,Q_e10,Q_e11,Q_e12,Q_e13,Q_e14,Q_e15,Q_e16,Q_e17,Q_e18,Q_e19,Q_e20,H_min,H_p25,H_p50,H_p75,H_max,Q_min,Q_p25,Q_p50,Q_p75,Q_max,H_ctl,Q_ctl
COSMOE,2020-06-11 06:24:00,2020-06-11 12:00:00,6,2020.zip::2020/2020061107_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,114.4875,114.4875,114.63749999999999,114.4875,114.63749999999999,114.4875,114.4875,114.4875,114.63749999999999,114.4875,114.63749999999999,114.4875,114.4875,114.4875,114.4875,114.4875,114.63749999999999,114.4875,114.4875,114.4875,379.94,379.94,379.94,379.94,379.94,114.4875,114.4875,114.4875,114.52499999999999,114.63749999999999,,
COSMOE,2020-06-12 06:58:00,2020-06-12 13:00:00,6,2020.zip::2020/2020061208_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.87,379.86,379.86,379.86,379.87,379.86,379.86,379.86,379.86,379.86,379.9,379.86,379.86,379.88,379.87,379.86,379.86,379.86,379.87,379.87,104.60249999999999,103.85249999999999,104.0025,103.7025,104.7525,103.85249999999999,103.55250000000001,103.85249999999999,103.85249999999999,103.7025,110.4525,103.85249999999999,103.55250000000001,107.60249999999999,104.1525,103.7025,104.0025,104.0025,105.5025,105.35249999999999,379.86,379.86,379.86,379.87,379.9,103.55250000000001,103.815,103.9275,104.63999999999999,110.4525,,
COSMOE,2020-06-13 05:47:00,2020-06-13 12:00:00,6,2020.zip::2020/2020061307_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,90.47999999999999,90.63,90.78,90.63,90.78,90.63,91.38,91.08,90.78,91.38,90.47999999999999,90.63,91.38,91.22999999999999,90.78,90.47999999999999,90.63,90.78,91.08,90.78,379.76,379.76,379.76,379.76,379.76,90.47999999999999,90.63,90.78,91.08,91.38,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061319_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.0275,77.62750000000001,84.6775,76.87750000000001,95.62750000000001,92.62750000000001,77.62750000000001,77.62750000000001,81.22749999999999,78.6775,88.57750000000001,78.22749999999999,89.0275,77.32750000000001,84.82750000000001,77.0275,81.82750000000001,96.82750000000001,77.1775,82.4275,379.66,379.67,379.69,379.72,379.77,76.87750000000001,77.62750000000001,81.5275,85.76500000000001,96.82750000000001,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061321_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.0275,77.62750000000001,84.6775,76.87750000000001,95.62750000000001,92.62750000000001,77.62750000000001,77.62750000000001,81.22749999999999,78.6775,88.57750000000001,78.22749999999999,89.0275,77.32750000000001,84.82750000000001,77.0275,81.82750000000001,96.82750000000001,77.1775,82.4275,379.66,379.67,379.69,379.72,379.77,76.87750000000001,77.62750000000001,81.5275,85.76500000000001,96.82750000000001,,
COSMOE,2020-06-14 06:20:00,2020-06-14 12:00:00,6,2020.zip::2020/2020061407_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.85,379.86,379.87,379.84,379.81,379.86,379.82,379.99,379.83,379.84,379.81,379.84,379.84,379.91,379.84,379.85,379.82,379.84,379.84,379.83,101.5825,104.73250000000002,106.98250000000002,99.6325,95.73250000000002,103.8325,96.48250000000002,129.33249999999998,98.2825,99.7825,95.4325,100.23250000000002,100.6825,114.7825,100.6825,101.4325,95.73250000000002,101.1325,99.6325,98.5825,379.81,379.83,379.84,379.85,379.99,95.4325,98.5075,100.45750000000001,102.145,129.33249999999998,,
COSMOE,2020-06-15 06:23:00,2020-06-15 12:00:00,6,2020.zip::2020/2020061507_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,84.80250000000001,84.6525,84.80250000000001,84.80250000000001,84.80250000000001,84.80250000000001,84.80250000000001,84.80250000000001,84.80250000000001,84.6525,84.95250000000001,85.1025,84.6525,84.80250000000001,84.80250000000001,84.6525,84.80250000000001,84.80250000000001,84.80250000000001,84.80250000000001,379.71,379.71,379.71,379.71,379.71,84.6525,84.80250000000001,84.80250000000001,84.80250000000001,85.1025,,
COSMOE,2020-06-16 05:54:00,2020-06-16 12:00:00,6,2020.zip::2020/2020061606_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,84.9875,84.8375,84.9875,84.8375,84.8375,85.7375,84.9875,84.9875,85.4375,84.8375,84.8375,84.8375,84.9875,84.9875,85.7375,84.8375,84.9875,85.13749999999999,84.8375,84.8375,379.71,379.71,379.71,379.71,379.72,84.8375,84.8375,84.9875,84.9875,85.7375,,
COSMOE,2020-06-17 05:42:00,2020-06-17 12:00:00,6,2020.zip::2020/2020061706_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.71,380.28,380.45,380.46,380.3,380.18,380.29,380.18,380.3,380.36,380.53,381.0,380.61,380.44,380.14,380.14,380.15,381.05,380.41,380.15,250.78999999999996,149.99,187.78999999999996,190.03999999999996,155.24,130.03999999999996,153.59,129.28999999999996,154.49,168.28999999999996,207.89,327.28999999999996,227.69,187.03999999999996,121.03999999999998,121.03999999999998,123.74,342.44000000000005,180.14,122.53999999999998,380.14,380.18,380.33,380.51,381.05,121.03999999999998,129.85249999999996,161.765,194.50249999999997,342.44000000000005,,
COSMOE,2020-06-17 10:57:00,2020-06-17 17:00:00,6,2020.zip::2020/2020061712_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.15,380.14,380.15,380.15,380.15,380.14,380.14,380.18,380.16,380.15,380.2,380.15,380.17,380.16,380.15,380.15,380.15,380.15,380.15,380.16,141.59499999999997,140.84499999999997,142.195,142.04500000000002,141.445,140.54500000000002,140.695,147.29500000000002,144.29500000000002,142.49499999999998,152.24499999999998,141.74499999999998,147.29500000000002,145.04500000000002,142.34499999999997,140.99499999999998,142.645,142.195,141.145,143.09499999999997,380.14,380.15,380.15,380.16,380.2,140.54500000000002,141.37,142.195,143.39499999999998,152.24499999999998,,
