model,issue_time,valid_time,lead_time_h,source_path,H_e01,H_e02,H_e03,H_e04,H_e05,H_e06,H_e07,H_e08,H_e09,H_e10,H_e11,H_e12,H_e13,H_e14,H_e15,H_e16,H_e17,H_e18,H_e19,H_e20,Q_e01,Q_e02,Q_e03,Q_e04,Q_e05,Q_e06,Q_e07,Q_e08,Q_e09,Q_e10,Q_e11,Q_e12,Q_e13,Q_e14,Q_e15,Q_e16,Q_e17,Q_e18,Q_e19,Q_e20,H_min,H_p25,H_p50,H_p75,H_max,Q_min,Q_p25,Q_p50,Q_p75,Q_max,H_ctl,Q_ctl
COSMOE,2020-06-11 06:24:00,2020-06-11 12:00:00,6,2020.zip::2020/2020061107_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,114.42499999999998,114.42499999999998,114.82499999999996,114.42499999999998,114.82499999999996,114.42499999999998,114.42499999999998,114.42499999999998,114.82499999999996,114.42499999999998,114.82499999999996,114.42499999999998,114.42499999999998,114.42499999999998,114.42499999999998,114.42499999999998,114.82499999999996,114.42499999999998,114.42499999999998,114.42499999999998,379.94,379.94,379.94,379.94,379.94,114.42499999999998,114.42499999999998,114.42499999999998,114.52499999999998,114.82499999999996,,
COSMOE,2020-06-12 06:58:00,2020-06-12 13:00:00,6,2020.zip::2020/2020061208_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.87,379.86,379.86,379.86,379.87,379.86,379.86,379.86,379.86,379.86,379.9,379.86,379.86,379.88,379.87,379.86,379.86,379.86,379.87,379.87,104.61499999999998,102.61499999999998,103.01500000000001,102.215,105.01500000000001,102.61499999999998,101.81500000000003,102.61499999999998,102.61499999999998,102.215,120.215,102.61499999999998,101.81500000000003,112.61499999999998,103.41499999999999,102.215,103.01500000000001,103.01500000000001,107.01500000000001,106.61499999999998,379.86,379.86,379.86,379.87,379.9,101.81500000000003,102.51499999999999,102.815,104.71499999999999,120.215,,
COSMOE,2020-06-13 05:47:00,2020-06-13 12:00:00,6,2020.zip::2020/2020061307_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,89.87999999999997,90.28,90.67999999999998,90.28,90.67999999999998,90.28,92.28,91.47999999999999,90.67999999999998,92.28,89.87999999999997,90.28,92.28,91.87999999999997,90.67999999999998,89.87999999999997,90.28,90.67999999999998,91.47999999999999,90.67999999999998,379.76,379.76,379.76,379.76,379.76,89.87999999999997,90.28,90.67999999999998,91.47999999999999,92.28,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061319_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.16500000000002,68.76500000000004,87.565,66.76500000000004,116.76500000000004,108.76500000000004,68.76500000000004,68.76500000000004,78.36500000000001,71.565,97.96500000000003,70.36500000000001,99.16500000000002,67.96500000000003,87.96500000000003,67.16500000000002,79.96500000000003,119.96500000000003,67.565,81.565,379.66,379.67,379.69,379.72,379.77,66.76500000000004,68.76500000000004,79.16500000000002,90.46500000000003,119.96500000000003,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061321_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.16500000000002,68.76500000000004,87.565,66.76500000000004,116.76500000000004,108.76500000000004,68.76500000000004,68.76500000000004,78.36500000000001,71.565,97.96500000000003,70.36500000000001,99.16500000000002,67.96500000000003,87.96500000000003,67.16500000000002,79.96500000000003,119.96500000000003,67.565,81.565,379.66,379.67,379.69,379.72,379.77,66.76500000000004,68.76500000000004,79.16500000000002,90.46500000000003,119.96500000000003,,
COSMOE,2020-06-14 06:20:00,2020-06-14 12:00:00,6,2020.zip::2020/2020061407_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.85,379.86,379.87,379.84,379.81,379.86,379.82,379.99,379.83,379.84,379.81,379.84,379.84,379.91,379.84,379.85,379.82,379.84,379.84,379.83,100.49499999999999,108.89500000000002,114.89500000000002,95.295,84.89500000000002,106.49499999999999,86.89500000000002,174.495,91.69499999999998,95.69499999999998,84.09500000000001,96.89500000000002,98.09500000000001,135.695,98.09500000000001,100.09500000000001,84.89500000000002,99.295,95.295,92.49499999999999,379.81,379.83,379.84,379.85,379.99,84.09500000000001,92.29499999999999,97.49500000000002,101.99499999999999,174.495,,
COSMOE,2020-06-15 06:23:00,2020-06-15 12:00:00,6,2020.zip::2020/2020061507_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,84.81500000000003,84.41500000000005,84.81500000000003,84.81500000000003,84.81500000000003,84.81500000000003,84.81500000000003,84.81500000000003,84.81500000000003,84.41500000000005,85.21500000000006,85.61500000000004,84.41500000000005,84.81500000000003,84.81500000000003,84.41500000000005,84.81500000000003,84.81500000000003,84.81500000000003,84.81500000000003,379.71,379.71,379.71,379.71,379.71,84.41500000000005,84.81500000000003,84.81500000000003,84.81500000000003,85.61500000000004,,
COSMOE,2020-06-16 05:54:00,2020-06-16 12:00:00,6,2020.zip::2020/2020061606_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,84.92499999999998,84.525,84.92499999999998,84.525,84.525,86.92499999999998,84.92499999999998,84.92499999999998,86.12499999999997,84.525,84.525,84.525,84.92499999999998,84.92499999999998,86.92499999999998,84.525,84.92499999999998,85.32499999999996,84.525,84.525,379.71,379.71,379.71,379.71,379.72,84.525,84.525,84.92499999999998,84.92499999999998,86.92499999999998,,
COSMOE,2020-06-17 05:42:00,2020-06-17 12:00:00,6,2020.zip::2020/2020061706_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.71,380.28,380.45,380.46,380.3,380.18,380.29,380.18,380.3,380.36,380.53,381.0,380.61,380.44,380.14,380.14,380.15,381.05,380.41,380.15,366.2399999999999,97.43999999999997,198.23999999999992,204.23999999999992,111.43999999999997,44.239999999999924,107.03999999999999,42.239999999999924,109.43999999999997,146.23999999999992,251.83999999999995,570.2399999999999,304.64,196.23999999999992,20.239999999999924,20.239999999999924,27.43999999999997,610.64,177.83999999999995,24.239999999999924,380.14,380.18,380.33,380.51,381.05,20.239999999999924,43.739999999999924,128.83999999999995,216.13999999999993,610.64,,
COSMOE,2020-06-17 10:57:00,2020-06-17 17:00:00,6,2020.zip::2020/2020061712_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.15,380.14,380.15,380.15,380.15,380.14,380.14,380.18,380.16,380.15,380.2,380.15,380.17,380.16,380.15,380.15,380.15,380.15,380.15,380.16,139.06999999999994,137.06999999999994,140.66999999999996,140.26999999999998,138.66999999999996,136.26999999999998,136.66999999999996,154.26999999999998,146.26999999999998,141.4699999999999,167.4699999999999,139.4699999999999,154.26999999999998,148.26999999999998,141.06999999999994,137.4699999999999,141.87,140.66999999999996,137.87,143.06999999999994,380.14,380.15,380.15,380.16,380.2,136.26999999999998,138.46999999999997,140.66999999999996,143.86999999999995,167.4699999999999,,
