model,issue_time,valid_time,lead_time_h,source_path,H_e01,H_e02,H_e03,H_e04,H_e05,H_e06,H_e07,H_e08,H_e09,H_e10,H_e11,H_e12,H_e13,H_e14,H_e15,H_e16,H_e17,H_e18,H_e19,H_e20,Q_e01,Q_e02,Q_e03,Q_e04,Q_e05,Q_e06,Q_e07,Q_e08,Q_e09,Q_e10,Q_e11,Q_e12,Q_e13,Q_e14,Q_e15,Q_e16,Q_e17,Q_e18,Q_e19,Q_e20,H_min,H_p25,H_p50,H_p75,H_max,Q_min,Q_p25,Q_p50,Q_p75,Q_max,H_ctl,Q_ctl
COSMOE,2020-06-11 06:24:00,2020-06-11 12:00:00,6,2020.zip::2020/2020061107_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,114.495,114.495,114.615,114.495,114.615,114.495,114.495,114.495,114.615,114.495,114.615,114.495,114.495,114.495,114.495,114.495,114.615,114.495,114.495,114.495,379.94,379.94,379.94,379.94,379.94,114.495,114.495,114.495,114.525,114.615,,
COSMOE,2020-06-12 06:58:00,2020-06-12 13:00:00,6,2020.zip::2020/2020061208_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.87,379.86,379.86,379.86,379.87,379.86,379.86,379.86,379.86,379.86,379.9,379.86,379.86,379.88,379.87,379.86,379.86,379.86,379.87,379.87,104.601,104.00099999999999,104.12100000000001,103.881,104.721,104.00099999999999,103.76100000000001,104.00099999999999,104.00099999999999,103.881,109.281,104.00099999999999,103.76100000000001,107.00099999999999,104.241,103.881,104.12100000000001,104.12100000000001,105.321,105.201,379.86,379.86,379.86,379.87,379.9,103.76100000000001,103.97099999999999,104.061,104.631,109.281,,
COSMOE,2020-06-13 05:47:00,2020-06-13 12:00:00,6,2020.zip::2020/2020061307_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,90.55199999999999,90.672,90.792,90.672,90.792,90.672,91.272,91.032,90.792,91.272,90.55199999999999,90.672,91.272,91.15199999999999,90.792,90.55199999999999,90.672,90.792,91.032,90.792,379.76,379.76,379.76,379.76,379.76,90.55199999999999,90.672,90.792,91.032,91.272,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061319_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.011,78.691,84.33099999999999,78.09100000000001,93.09100000000001,90.691,78.691,78.691,81.571,79.53099999999999,87.45100000000001,79.17099999999999,87.811,78.45100000000001,84.45100000000001,78.211,82.051,94.051,78.33099999999999,82.53099999999999,379.66,379.67,379.69,379.72,379.77,78.09100000000001,78.691,81.811,85.20100000000001,94.051,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061321_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.011,78.691,84.33099999999999,78.09100000000001,93.09100000000001,90.691,78.691,78.691,81.571,79.53099999999999,87.45100000000001,79.17099999999999,87.811,78.45100000000001,84.45100000000001,78.211,82.051,94.051,78.33099999999999,82.53099999999999,379.66,379.67,379.69,379.72,379.77,78.09100000000001,78.691,81.811,85.20100000000001,94.051,,
COSMOE,2020-06-14 06:20:00,2020-06-14 12:00:00,6,2020.zip::2020/2020061407_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.85,379.86,379.87,379.84,379.81,379.86,379.82,379.99,379.83,379.84,379.81,379.84,379.84,379.91,379.84,379.85,379.82,379.84,379.84,379.83,101.713,104.233,106.033,100.153,97.033,103.51299999999999,97.63300000000001,123.913,99.073,100.273,96.793,100.63300000000001,100.99300000000001,112.273,100.99300000000001,101.593,97.033,101.353,100.153,99.313,379.81,379.83,379.84,379.85,379.99,96.793,99.253,100.81300000000002,102.163,123.913,,
COSMOE,2020-06-15 06:23:00,2020-06-15 12:00:00,6,2020.zip::2020/2020061507_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,84.801,84.68100000000001,84.801,84.801,84.801,84.801,84.801,84.801,84.801,84.68100000000001,84.921,85.041,84.68100000000001,84.801,84.801,84.68100000000001,84.801,84.801,84.801,84.801,379.71,379.71,379.71,379.71,379.71,84.68100000000001,84.801,84.801,84.801,85.041,,
COSMOE,2020-06-16 05:54:00,2020-06-16 12:00:00,6,2020.zip::2020/2020061606_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,84.995,84.875,84.995,84.875,84.875,85.595,84.995,84.995,85.35499999999999,84.875,84.875,84.875,84.995,84.995,85.595,84.875,84.995,85.115,84.875,84.875,379.71,379.71,379.71,379.71,379.72,84.875,84.875,84.995,84.995,85.595,,
COSMOE,2020-06-17 05:42:00,2020-06-17 12:00:00,6,2020.zip::2020/2020061706_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.71,380.28,380.45,380.46,380.3,380.18,380.29,380.18,380.3,380.36,380.53,381.0,380.61,380.44,380.14,380.14,380.15,381.05,380.41,380.15,236.93599999999998,156.296,186.53599999999997,188.33599999999998,160.496,140.33599999999998,159.17600000000002,139.736,159.896,170.93599999999998,202.61599999999999,298.13599999999997,218.45600000000002,185.93599999999998,133.136,133.136,135.296,310.256,180.416,134.33599999999998,380.14,380.18,380.33,380.51,381.05,133.136,140.18599999999998,165.716,191.90599999999998,310.256,,
COSMOE,2020-06-17 10:57:00,2020-06-17 17:00:00,6,2020.zip::2020/2020061712_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.15,380.14,380.15,380.15,380.15,380.14,380.14,380.18,380.16,380.15,380.2,380.15,380.17,380.16,380.15,380.15,380.15,380.15,380.15,380.16,141.898,141.298,142.378,142.258,141.778,141.058,141.178,146.458,144.058,142.618,150.41799999999998,142.01799999999997,146.458,144.65800000000002,142.498,141.41799999999998,142.738,142.378,141.538,143.09799999999998,380.14,380.15,380.15,380.16,380.2,141.058,141.718,142.378,143.338,150.41799999999998,,
