lead,model,CRPS,Spread,Skill,SpreadSkill,StabilityIndex
6,C1E,12.652822491909385,1.5186429515425384,13.327656654530745,0.113946734282979,0.12002404620736462
6,C2E,11.828515038614068,2.3687364600981655,12.621002609058651,0.18768211474818464,0.2002564524934189
6,COSMOE,7.652001474926253,2.361645947024943,8.230168141592921,0.2869499026153437,0.30863114107529266
6,ICH1,8.195251223241591,0.765391526900387,8.39055122324159,0.09122064885189585,0.0933945166484165
6,ICH2,8.717084174311927,1.177745626251674,9.091474006116208,0.1295439689240504,0.13510774962885228
12,C1E,11.83453256472492,3.797878373440626,13.247800970873786,0.28667990872627436,0.32091494550786154
12,C2E,11.558535806720935,4.726245452961274,13.076448862450428,0.3614318766749782,0.40889655329909613
12,COSMOE,17.860757817109143,4.378349391673572,19.201814159292034,0.22801748601065425,0.24513794074483972
12,ICH1,10.266752905198775,2.939161440587966,11.027731651376147,0.26652457035030086,0.28627955376362313
12,ICH2,10.676451605504587,3.6129151704837,11.938938073394493,0.302616124480312,0.3384003696773697
24,C1E,13.222527527405601,6.892329550047723,15.672868047097035,0.4397618565342656,0.5212565854176606
24,C2E,13.318158693383428,7.692723990758132,15.758459507409727,0.48816472109172854,0.5776116779568282
24,COSMOE,16.179300442477874,9.392848924275308,18.487497050147493,0.5080649315745155,0.5805472836782452
24,ICH1,12.5305,6.6193441573618275,13.966538940809968,0.47394305668287534,0.528258581607563
24,ICH2,13.619496543778801,7.376062368100188,15.425034562211982,0.47818773681660115,0.541581132889078
48,C2E,13.707234919640994,10.293961486348962,16.784257879357128,0.6133104936618105,0.7509874563284703
48,COSMOE,14.21680737463127,9.868651739015394,16.725513274336283,0.5900358079633867,0.6941538615716946
48,ICH2,15.825404089506172,10.969013544681198,18.846919753086418,0.582005637409417,0.693126916819876
